808000:	18      	CLC 
81997B:	C220    	REP #$20
81997D:	ADE40F  	LDA $0FE4
819980:	C9F03F  	CMP #$3FF0
819983:	F00E    	BEQ $9993
819985:	3A      	DEC A
819986:	29FF3F  	AND #$3FFF
819989:	8DE40F  	STA $0FE4
81998C:	ADE70F  	LDA $0FE7
81998F:	1A      	INC A
819990:	8DE70F  	STA $0FE7
819993:	E220    	SEP #$20
819995:	60      	RTS
 
819996:	8B      	PHB 
819997:	F47E7E  	PEA $7E7E
81999A:	AB      	PLB 
81999B:	AB      	PLB 
81999C:	C220    	REP #$20
81999E:	A09204  	LDY #$0492
8199A1:	A90600  	LDA #$0006
8199A4:	8D0000  	STA $0000
8199A7:	A90E00  	LDA #$000E
8199AA:	8D0200  	STA $0002
8199AD:	A92000  	LDA #$0020
8199B0:	991020  	STA $2010,Y
8199B3:	C8      	INY 
8199B4:	C8      	INY 
8199B5:	CE0200  	DEC $0002
8199B8:	D0F6    	BNE $99B0
8199BA:	98      	TYA 
8199BB:	18      	CLC 
8199BC:	692400  	ADC #$0024
8199BF:	A8      	TAY 
8199C0:	CE0000  	DEC $0000
8199C3:	D0E2    	BNE $99A7
8199C5:	E220    	SEP #$20
8199C7:	A903    	LDA #$03
8199C9:	8D4D00  	STA $004D
8199CC:	AB      	PLB 
8199CD:	60      	RTS

8199DB:	A900    	LDA #$00
8199DD:	EB      	XBA 
8199DE:	BD0200  	LDA $0002,x
8199E1:	0A      	ASL
8199E2:	AA      	TAX 
8199E3:	7CE699  	JMP ($99E6,x)
8199E6:
	dw $99F2, $9A35, $9A4D, $9A4E
	dw $9A85, $9A98
	
8199F2:	AE0007  	LDX $0700
8199F5:	9E0500  	STZ $0005,x
8199F8:	C220    	REP #$20
8199FA:	A9FF17  	LDA #$17FF
8199FD:	9D0300  	STA $0003,x
819A00:	A90001  	LDA #$0100
819A03:	9D0700  	STA $0007,x
819A06:	A91E01  	LDA #$011E
819A09:	9D0D00  	STA $000D,x
819A0C:	A9A400  	LDA #$00A4
819A0F:	9D1000  	STA $0010,x
819A12:	A04497  	LDY #$9744
819A15:	ADD906  	LDA $06D9
819A18:	29FF00  	AND #$00FF
819A1B:	F003    	BEQ $9A20
819A1D:	A04797  	LDY #$9747
819A20:	98      	TYA 
819A21:	9D1200  	STA $0012,x
819A24:	E220    	SEP #$20
819A26:	A901    	LDA #$01
819A28:	9D0200  	STA $0002,x
819A2B:	ADD906  	LDA $06D9
819A2E:	D005    	BNE $9A35
819A30:	A9FF    	LDA #$FF
819A32:	20F79D  	JSR $9DF7
819A35:	AE0007  	LDX $0700
819A38:	BD0300  	LDA $0003,x
819A3B:	38      	SEC 
819A3C:	E904    	SBC #$04
819A3E:	C997    	CMP #$97
819A40:	9005    	BCC $9A47
819A42:	9D0300  	STA $0003,x
819A45:	8005    	BRA $9A4C
819A47:	A902    	LDA #$02
819A49:	9D0200  	STA $0002,x
819A4C:	60      	RTS
 
819A4D:	60      	RTS
 
819A4E:	AE0007  	LDX $0700
819A51:	AC4E00  	LDY $004E
819A54:	C00007  	CPY #$0700
819A57:	F02B    	BEQ $9A84
819A59:	C220    	REP #$20
819A5B:	A94497  	LDA #$9744
819A5E:	9D1200  	STA $0012,x
819A61:	A90002  	LDA #$0200
819A64:	9D0900  	STA $0009,x
819A67:	A90009  	LDA #$0900
819A6A:	9D0B00  	STA $000B,x
819A6D:	A9FE99  	LDA #$99FE
819A70:	9D1400  	STA $0014,x
819A73:	E220    	SEP #$20
819A75:	9E0500  	STZ $0005,x
819A78:	AF293B7E	LDA $7E3B29
819A7C:	20F79D  	JSR $9DF7
819A7F:	A904    	LDA #$04
819A81:	9D0200  	STA $0002,x
819A84:	60      	RTS
 
819A85:	AE0007  	LDX $0700
819A88:	20538B  	JSR $8B53
819A8B:	BD0B00  	LDA $000B,x
819A8E:	C908    	CMP #$08
819A90:	9005    	BCC $9A97
819A92:	A905    	LDA #$05
819A94:	9D0200  	STA $0002,x
819A97:	60      	RTS
 
819A98:	60      	RTS

819A99:	A900    	LDA #$00
819A9B:	EB      	XBA 
819A9C:	BD0200  	LDA $0002,x
819A9F:	0A      	ASL
819AA0:	AA      	TAX 
819AA1:	7CA49A  	JMP ($9AA4,x)
819AA4:
	dw $9AAA, $9AF0, $9C0A

819AAA:	AE0007  	LDX $0700
819AAD:	9E0500  	STZ $0005,x
819AB0:	A950    	LDA #$50
819AB2:	9D0300  	STA $0003,x
819AB5:	ADD906  	LDA $06D9
819AB8:	D004    	BNE $9ABE
819ABA:	A997    	LDA #$97
819ABC:	8002    	BRA $9AC0
819ABE:	A977    	LDA #$77
819AC0:	9D0400  	STA $0004,x
819AC3:	C220    	REP #$20
819AC5:	A90001  	LDA #$0100
819AC8:	9D0700  	STA $0007,x
819ACB:	A91600  	LDA #$0016
819ACE:	9D0D00  	STA $000D,x
819AD1:	A91C01  	LDA #$011C
819AD4:	9D1000  	STA $0010,x
819AD7:	A90C99  	LDA #$990C
819ADA:	9D1200  	STA $0012,x
819ADD:	E220    	SEP #$20
819ADF:	A900    	LDA #$00
819AE1:	8F52347E	STA $7E3452
819AE5:	9C2400  	STZ $0024
819AE8:	9C2500  	STZ $0025
819AEB:	A901    	LDA #$01
819AED:	9D0200  	STA $0002,x
819AF0:	AE0007  	LDX $0700
819AF3:	AD2500  	LDA $0025
819AF6:	2980    	AND #$80
819AF8:	F028    	BEQ $9B22
819AFA:	9C2500  	STZ $0025
819AFD:	ADD906  	LDA $06D9
819B00:	D007    	BNE $9B09
819B02:	ADDA06  	LDA $06DA
819B05:	D01B    	BNE $9B22
819B07:	800C    	BRA $9B15
819B09:	ADA210  	LDA $10A2
819B0C:	C902    	CMP #$02
819B0E:	B012    	BCS $9B22
819B10:	A902    	LDA #$02
819B12:	8DA210  	STA $10A2
819B15:	A902    	LDA #$02
819B17:	9D0200  	STA $0002,x
819B1A:	A901    	LDA #$01
819B1C:	8DB907  	STA $07B9
819B1F:	4C099C  	JMP $9C09

819B22:	ADB907  	LDA $07B9
819B25:	F003    	BEQ $9B2A
819B27:	4C099C  	JMP $9C09
819B2A:	AD2400  	LDA $0024
819B2D:	2980    	AND #$80
819B2F:	8D0000  	STA $0000
819B32:	AD2500  	LDA $0025
819B35:	2910    	AND #$10
819B37:	0D0000  	ORA $0000
819B3A:	F027    	BEQ $9B63
819B3C:	ADD906  	LDA $06D9
819B3F:	C901    	CMP #$01
819B41:	D00E    	BNE $9B51
819B43:	A0DF34  	LDY #$34DF
819B46:	20A0A1  	JSR $A1A0
819B49:	B006    	BCS $9B51
819B4B:	A909    	LDA #$09
819B4D:	8F52347E	STA $7E3452
819B51:	A903    	LDA #$03
819B53:	8D4210  	STA $1042
819B56:	A902    	LDA #$02
819B58:	9D0200  	STA $0002,x
819B5B:	A900    	LDA #$00
819B5D:	208496  	JSR $9684
819B60:	4C099C  	JMP $9C09
819B63:	AD2300  	LDA $0023
819B66:	290F    	AND #$0F
819B68:	D003    	BNE $9B6D
819B6A:	4C099C  	JMP $9C09
819B6D:	8D0000  	STA $0000
819B70:	ADD906  	LDA $06D9
819B73:	F04C    	BEQ $9BC1
819B75:	AD0000  	LDA $0000
819B78:	2908    	AND #$08
819B7A:	F020    	BEQ $9B9C
819B7C:	BD0400  	LDA $0004,x
819B7F:	38      	SEC 
819B80:	E920    	SBC #$20
819B82:	C977    	CMP #$77
819B84:	903B    	BCC $9BC1
819B86:	9D0400  	STA $0004,x
819B89:	AF52347E	LDA $7E3452
819B8D:	38      	SEC 
819B8E:	E903    	SBC #$03
819B90:	8F52347E	STA $7E3452
819B94:	A904    	LDA #$04
819B96:	22CB8382	JSR $8283CB
819B9A:	8025    	BRA $9BC1
819B9C:	AD0000  	LDA $0000
819B9F:	2904    	AND #$04
819BA1:	F01E    	BEQ $9BC1
819BA3:	BD0400  	LDA $0004,x
819BA6:	18      	CLC 
819BA7:	6920    	ADC #$20
819BA9:	C9B8    	CMP #$B8
819BAB:	B014    	BCS $9BC1
819BAD:	9D0400  	STA $0004,x
819BB0:	AF52347E	LDA $7E3452
819BB4:	18      	CLC 
819BB5:	6903    	ADC #$03
819BB7:	8F52347E	STA $7E3452
819BBB:	A904    	LDA #$04
819BBD:	22CB8382	JSR $8283CB
819BC1:	AD0000  	LDA $0000
819BC4:	2902    	AND #$02
819BC6:	F01E    	BEQ $9BE6
819BC8:	BD0300  	LDA $0003,x
819BCB:	38      	SEC 
819BCC:	E920    	SBC #$20
819BCE:	C950    	CMP #$50
819BD0:	9037    	BCC $9C09
819BD2:	9D0300  	STA $0003,x
819BD5:	AF52347E	LDA $7E3452
819BD9:	3A      	DEC A
819BDA:	8F52347E	STA $7E3452
819BDE:	A904    	LDA #$04
819BE0:	22CB8382	JSR $8283CB
819BE4:	8023    	BRA $9C09
819BE6:	AD0000  	LDA $0000
819BE9:	2901    	AND #$01
819BEB:	F01C    	BEQ $9C09
819BED:	BD0300  	LDA $0003,x
819BF0:	18      	CLC 
819BF1:	6920    	ADC #$20
819BF3:	C991    	CMP #$91
819BF5:	B012    	BCS $9C09
819BF7:	9D0300  	STA $0003,x
819BFA:	AF52347E	LDA $7E3452
819BFE:	1A      	INC A
819BFF:	8F52347E	STA $7E3452
819C03:	A904    	LDA #$04
819C05:	22CB8382	JSR $8283CB
819C09:	60      	RTS
 
819C0A:	60      	RTS

819C0B:	A900    	LDA #$00
819C0D:	EB      	XBA 
819C0E:	BD0200  	LDA $0002,x
819C11:	0A      	ASL
819C12:	AA      	TAX 
819C13:	7C169C  	JMP ($9C16,x)
819C16:
	dw $9C1C, $9C62, $9D67

819C1C:	AE0007  	LDX $0700
819C1F:	9E0500  	STZ $0005,x
819C22:	A990    	LDA #$90
819C24:	9D0300  	STA $0003,x
819C27:	ADD906  	LDA $06D9
819C2A:	D004    	BNE $9C30
819C2C:	A997    	LDA #$97
819C2E:	8002    	BRA $9C32
819C30:	A977    	LDA #$77
819C32:	9D0400  	STA $0004,x
819C35:	C220    	REP #$20
819C37:	A90001  	LDA #$0100
819C3A:	9D0700  	STA $0007,x
819C3D:	A90B01  	LDA #$010B
819C40:	9D0D00  	STA $000D,x
819C43:	A93001  	LDA #$0130
819C46:	9D1000  	STA $0010,x
819C49:	A91299  	LDA #$9912
819C4C:	9D1200  	STA $0012,x
819C4F:	E220    	SEP #$20
819C51:	A902    	LDA #$02
819C53:	8F293B7E	STA $7E3B29
819C57:	9C3000  	STZ $0030
819C5A:	9C3100  	STZ $0031
819C5D:	A901    	LDA #$01
819C5F:	9D0200  	STA $0002,x

819C62:	AE0007  	LDX $0700
819C65:	AD3100  	LDA $0031
819C68:	2980    	AND #$80
819C6A:	F01A    	BEQ $9C86
819C6C:	9C3100  	STZ $0031
819C6F:	AD8210  	LDA $1082
819C72:	C902    	CMP #$02
819C74:	B010    	BCS $9C86
819C76:	A902    	LDA #$02
819C78:	8D8210  	STA $1082
819C7B:	9D0200  	STA $0002,x
819C7E:	A901    	LDA #$01
819C80:	8DB907  	STA $07B9
819C83:	4C669D  	JMP $9D66
819C86:	ADB907  	LDA $07B9
819C89:	F003    	BEQ $9C8E
819C8B:	4C669D  	JMP $9D66
819C8E:	AD3000  	LDA $0030
819C91:	2980    	AND #$80
819C93:	8D0000  	STA $0000
819C96:	AD3100  	LDA $0031
819C99:	2910    	AND #$10
819C9B:	0D0000  	ORA $0000
819C9E:	F020    	BEQ $9CC0
819CA0:	A0B63B  	LDY #$3BB6
819CA3:	20A0A1  	JSR $A1A0
819CA6:	B006    	BCS $9CAE
819CA8:	A909    	LDA #$09
819CAA:	8F293B7E	STA $7E3B29
819CAE:	A903    	LDA #$03
819CB0:	8D6210  	STA $1062
819CB3:	A902    	LDA #$02
819CB5:	9D0200  	STA $0002,x
819CB8:	A901    	LDA #$01
819CBA:	208496  	JSR $9684
819CBD:	4C669D  	JMP $9D66
819CC0:	AD2F00  	LDA $002F
819CC3:	290F    	AND #$0F
819CC5:	D003    	BNE $9CCA
819CC7:	4C669D  	JMP $9D66
819CCA:	8D0000  	STA $0000
819CCD:	ADD906  	LDA $06D9
819CD0:	F04C    	BEQ $9D1E
819CD2:	AD0000  	LDA $0000
819CD5:	2908    	AND #$08
819CD7:	F020    	BEQ $9CF9
819CD9:	BD0400  	LDA $0004,x
819CDC:	38      	SEC 
819CDD:	E920    	SBC #$20
819CDF:	C977    	CMP #$77
819CE1:	903B    	BCC $9D1E
819CE3:	9D0400  	STA $0004,x
819CE6:	AF293B7E	LDA $7E3B29
819CEA:	38      	SEC 
819CEB:	E903    	SBC #$03
819CED:	8F293B7E	STA $7E3B29
819CF1:	A904    	LDA #$04
819CF3:	22CB8382	JSR $8283CB
819CF7:	8025    	BRA $9D1E
819CF9:	AD0000  	LDA $0000
819CFC:	2904    	AND #$04
819CFE:	F01E    	BEQ $9D1E
819D00:	BD0400  	LDA $0004,x
819D03:	18      	CLC 
819D04:	6920    	ADC #$20
819D06:	C9B8    	CMP #$B8
819D08:	B014    	BCS $9D1E
819D0A:	9D0400  	STA $0004,x
819D0D:	AF293B7E	LDA $7E3B29
819D11:	18      	CLC 
819D12:	6903    	ADC #$03
819D14:	8F293B7E	STA $7E3B29
819D18:	A904    	LDA #$04
819D1A:	22CB8382	JSR $8283CB
819D1E:	AD0000  	LDA $0000
819D21:	2902    	AND #$02
819D23:	F01E    	BEQ $9D43
819D25:	BD0300  	LDA $0003,x
819D28:	38      	SEC 
819D29:	E920    	SBC #$20
819D2B:	C950    	CMP #$50
819D2D:	9037    	BCC $9D66
819D2F:	9D0300  	STA $0003,x
819D32:	AF293B7E	LDA $7E3B29
819D36:	3A      	DEC A
819D37:	8F293B7E	STA $7E3B29
819D3B:	A904    	LDA #$04
819D3D:	22CB8382	JSR $8283CB
819D41:	8023    	BRA $9D66
819D43:	AD0000  	LDA $0000
819D46:	2901    	AND #$01
819D48:	F01C    	BEQ $9D66
819D4A:	BD0300  	LDA $0003,x
819D4D:	18      	CLC 
819D4E:	6920    	ADC #$20
819D50:	C991    	CMP #$91
819D52:	B012    	BCS $9D66
819D54:	9D0300  	STA $0003,x
819D57:	AF293B7E	LDA $7E3B29
819D5B:	1A      	INC A
819D5C:	8F293B7E	STA $7E3B29
819D60:	A904    	LDA #$04
819D62:	22CB8382	JSR $8283CB
819D66:	60      	RTS

819D67:	60      	RTS
 
819D68:	8B      	PHB 
819D69:	DA      	PHX 
819D6A:	48      	PHA 
819D6B:	C220    	REP #$20
819D6D:	29FF00  	AND #$00FF
819D70:	8D0000  	STA $0000
819D73:	0A      	ASL
819D74:	18      	CLC 
819D75:	6D0000  	ADC $0000
819D78:	AA      	TAX 
819D79:	4B      	PHK 
819D7A:	AB      	PLB 
819D7B:	BDD69D  	LDA $9DD6,x
819D7E:	8DDD06  	STA $06DD
819D81:	E220    	SEP #$20
819D83:	BDD89D  	LDA $9DD8,x
819D86:	8DDF06  	STA $06DF
819D89:	A20080  	LDX #$8000
819D8C:	A97E    	LDA #$7E
819D8E:	8EE006  	STX $06E0
819D91:	8DE206  	STA $06E2
819D94:	22F68182	JSR $8281F6
819D98:	A20007  	LDX #$0700
819D9B:	8E4E00  	STX $004E
819D9E:	A20064  	LDX #$6400
819DA1:	A00080  	LDY #$8000
819DA4:	A97E    	LDA #$7E
819DA6:	8E5000  	STX $0050
819DA9:	8C5200  	STY $0052
819DAC:	8D5400  	STA $0054
819DAF:	A901    	LDA #$01
819DB1:	8D4200  	STA $0042
819DB4:	68      	PLA 
819DB5:	8F52347E	STA $7E3452
819DB9:	C220    	REP #$20
819DBB:	29FF00  	AND #$00FF
819DBE:	0A      	ASL
819DBF:	0A      	ASL
819DC0:	0A      	ASL
819DC1:	0A      	ASL
819DC2:	0A      	ASL
819DC3:	18      	CLC 
819DC4:	698895  	ADC #$9588
819DC7:	AA      	TAX 
819DC8:	A08E01  	LDY #$018E
819DCB:	A91F00  	LDA #$001F
819DCE:	540000  	MVN $00,$00
819DD1:	E220    	SEP #$20
819DD3:	FA      	PLX 
819DD4:	AB      	PLB 
819DD5:	60      	RTS

819DF7:	8B      	PHB 
819DF8:	DA      	PHX 
819DF9:	C9FF    	CMP #$FF
819DFB:	D027    	BNE $9E24
819DFD:	ADDA06  	LDA $06DA
819E00:	C902    	CMP #$02
819E02:	B01F    	BCS $9E23
819E04:	C220    	REP #$20
819E06:	AF52347E	LDA $7E3452
819E0A:	29FF00  	AND #$00FF
819E0D:	0A      	ASL
819E0E:	AA      	TAX 
819E0F:	4B      	PHK 
819E10:	AB      	PLB 
819E11:	ADDA06  	LDA $06DA
819E14:	29FF00  	AND #$00FF
819E17:	18      	CLC 
819E18:	7D909E  	ADC $9E90,x
819E1B:	AA      	TAX 
819E1C:	E220    	SEP #$20
819E1E:	BD0000  	LDA $0000,x
819E21:	8001    	BRA $9E24
819E23:	1A      	INC A
819E24:	48      	PHA 
819E25:	C220    	REP #$20
819E27:	29FF00  	AND #$00FF
819E2A:	8D0000  	STA $0000
819E2D:	0A      	ASL
819E2E:	18      	CLC 
819E2F:	6D0000  	ADC $0000
819E32:	AA      	TAX 
819E33:	4B      	PHK 
819E34:	AB      	PLB 
819E35:	BDD69D  	LDA $9DD6,x
819E38:	8DDD06  	STA $06DD
819E3B:	E220    	SEP #$20
819E3D:	BDD89D  	LDA $9DD8,x
819E40:	8DDF06  	STA $06DF
819E43:	A20088  	LDX #$8800
819E46:	A97E    	LDA #$7E
819E48:	8EE006  	STX $06E0
819E4B:	8DE206  	STA $06E2
819E4E:	22F68182	JSR $8281F6
819E52:	A20007  	LDX #$0700
819E55:	8E5600  	STX $0056
819E58:	A20068  	LDX #$6800
819E5B:	A00088  	LDY #$8800
819E5E:	A97E    	LDA #$7E
819E60:	8E5800  	STX $0058
819E63:	8C5A00  	STY $005A
819E66:	8D5C00  	STA $005C
819E69:	A901    	LDA #$01
819E6B:	8D4200  	STA $0042
819E6E:	68      	PLA 
819E6F:	8F293B7E	STA $7E3B29
819E73:	C220    	REP #$20
819E75:	29FF00  	AND #$00FF
819E78:	0A      	ASL
819E79:	0A      	ASL
819E7A:	0A      	ASL
819E7B:	0A      	ASL
819E7C:	0A      	ASL
819E7D:	18      	CLC 
819E7E:	698895  	ADC #$9588
819E81:	AA      	TAX 
819E82:	A0AE01  	LDY #$01AE
819E85:	A91F00  	LDA #$001F
819E88:	540000  	MVN $00,$00
819E8B:	E220    	SEP #$20
819E8D:	FA      	PLX 
819E8E:	AB      	PLB 
819E8F:	60      	RTS

819E9C:	8B      	PHB 
819E9D:	DA      	PHX 
819E9E:	F47E7E  	PEA $7E7E
819EA1:	AB      	PLB 
819EA2:	AB      	PLB 
819EA3:	A2F000  	LDX #$00F0
819EA6:	A09801  	LDY #$0198
819EA9:	C220    	REP #$20
819EAB:	A90800  	LDA #$0008
819EAE:	8D0000  	STA $0000
819EB1:	8A      	TXA 
819EB2:	991020  	STA $2010,Y
819EB5:	18      	CLC 
819EB6:	690800  	ADC #$0008
819EB9:	99D020  	STA $20D0,Y
819EBC:	18      	CLC 
819EBD:	690800  	ADC #$0008
819EC0:	995020  	STA $2050,Y
819EC3:	18      	CLC 
819EC4:	690800  	ADC #$0008
819EC7:	991021  	STA $2110,Y
819ECA:	18      	CLC 
819ECB:	690800  	ADC #$0008
819ECE:	999020  	STA $2090,Y
819ED1:	18      	CLC 
819ED2:	690800  	ADC #$0008
819ED5:	995021  	STA $2150,Y
819ED8:	E8      	INX 
819ED9:	C8      	INY 
819EDA:	C8      	INY 
819EDB:	CE0000  	DEC $0000
819EDE:	D0D1    	BNE $9EB1
819EE0:	E220    	SEP #$20
819EE2:	FA      	PLX 
819EE3:	AB      	PLB 
819EE4:	60      	RTS

######TAISEN AITE SERIFU#########
819EE5:	8B      	PHB 
819EE6:	4B      	PHK 
819EE7:	AB      	PLB 
819EE8:	DA      	PHX 
819EE9:	C220    	REP #$20
819EEB:	AF293B7E	LDA $7E3B29		aite
819EEF:	29FF00  	AND #$00FF
819EF2:	0A      	ASL
819EF3:	AA      	TAX 
819EF4:	BD039F  	LDA $9F03,x	serifu ptr
819EF7:	AA      	TAX 
819EF8:	E220    	SEP #$20
819EFA:	A03424  	LDY #$2434
819EFD:	2039A0  	JSR $A039
819F00:	FA      	PLX 
819F01:	AB      	PLB 
819F02:	60      	RTS

81A039:	8B      	PHB 
81A03A:	C220    	REP #$20
81A03C:	8C0000  	STY $0000
81A03F:	4B      	PHK 
81A040:	AB      	PLB 
81A041:	BD0000  	LDA $0000,x
81A044:	E8      	INX 
81A045:	29FF00  	AND #$00FF
81A048:	C9FF00  	CMP #$00FF
81A04B:	D003    	BNE $A050
81A04D:	4C99A0  	JMP $A099
81A050:	C9FE00  	CMP #$00FE
81A053:	D00D    	BNE $A062
81A055:	AD0000  	LDA $0000
81A058:	18      	CLC 
81A059:	698000  	ADC #$0080
81A05C:	8D0000  	STA $0000
81A05F:	A8      	TAY 
81A060:	80DD    	BRA $A03F
81A062:	090002  	ORA #$0200
81A065:	F47E7E  	PEA $7E7E
81A068:	AB      	PLB 
81A069:	AB      	PLB 
81A06A:	994000  	STA $0040,Y
81A06D:	4B      	PHK 
81A06E:	AB      	PLB 
81A06F:	BD0000  	LDA $0000,x
81A072:	29FF00  	AND #$00FF
81A075:	C98700  	CMP #$0087
81A078:	F00F    	BEQ $A089
81A07A:	C98800  	CMP #$0088
81A07D:	F00A    	BEQ $A089
81A07F:	C9C700  	CMP #$00C7
81A082:	F005    	BEQ $A089
81A084:	C9C800  	CMP #$00C8
81A087:	D00C    	BNE $A095
81A089:	090002  	ORA #$0200
81A08C:	F47E7E  	PEA $7E7E
81A08F:	AB      	PLB 
81A090:	AB      	PLB 
81A091:	990000  	STA $0000,Y
81A094:	E8      	INX 
81A095:	C8      	INY 
81A096:	C8      	INY 
81A097:	80A6    	BRA $A03F
81A099:	E220    	SEP #$20
81A09B:	AB      	PLB 
81A09C:	60      	RTS

81A09D:	8B      	PHB 
81A09E:	F40000  	PEA $0000
81A0A1:	AB      	PLB 
81A0A2:	AB      	PLB 
81A0A3:	A20000  	LDX #$0000
81A0A6:	A00000  	LDY #$0000
81A0A9:	A901    	LDA #$01
81A0AB:	990008  	STA $0800,Y
81A0AE:	BDEA93  	LDA $93EA,x
81A0B1:	C220    	REP #$20
81A0B3:	29FF00  	AND #$00FF
81A0B6:	990108  	STA $0801,Y
81A0B9:	E220    	SEP #$20
81A0BB:	E8      	INX 
81A0BC:	C8      	INY 
81A0BD:	C8      	INY 
81A0BE:	C8      	INY 
81A0BF:	E05C00  	CPX #$005C
81A0C2:	90E5    	BCC $A0A9
81A0C4:	C220    	REP #$20
81A0C6:	A20008  	LDX #$0800
81A0C9:	A01409  	LDY #$0914
81A0CC:	A98B01  	LDA #$018B
81A0CF:	540000  	MVN $00,$00
81A0D2:	E220    	SEP #$20
81A0D4:	9CA00A  	STZ $0AA0
81A0D7:	F40043  	PEA $4300
81A0DA:	2B      	PLD 
81A0DB:	9C0C42  	STZ $420C
81A0DE:	A20210  	LDX #$1002
81A0E1:	8600    	STX $00
81A0E3:	A20008  	LDX #$0800
81A0E6:	8602    	STX $02
81A0E8:	6404    	STZ $04
81A0EA:	6407    	STZ $07
81A0EC:	A20032  	LDX #$3200
81A0EF:	8610    	STX $10
81A0F1:	A2A993  	LDX #$93A9
81A0F4:	8612    	STX $12
81A0F6:	6414    	STZ $14
81A0F8:	6417    	STZ $17
81A0FA:	A903    	LDA #$03
81A0FC:	8D4D00  	STA $004D
81A0FF:	AB      	PLB 
81A100:	60      	RTS

81A101:	8B      	PHB 
81A102:	F40000  	PEA $0000
81A105:	AB      	PLB 
81A106:	AB      	PLB 
81A107:	A20000  	LDX #$0000
81A10A:	BD0108  	LDA $0801,x
81A10D:	1A      	INC A
81A10E:	293F    	AND #$3F
81A110:	9D0108  	STA $0801,x
81A113:	E8      	INX 
81A114:	E8      	INX 
81A115:	E8      	INX 
81A116:	E01401  	CPX #$0114
81A119:	90EF    	BCC $A10A
81A11B:	C220    	REP #$20
81A11D:	A20008  	LDX #$0800
81A120:	A01409  	LDY #$0914
81A123:	A98B01  	LDA #$018B
81A126:	540000  	MVN $00,$00
81A129:	E220    	SEP #$20
81A12B:	AB      	PLB 
81A12C:	60      	RTS

#######TAISEN BUFFER INIT#######
81A12D:	8B      	PHB 
81A12E:	F47E7E  	PEA $7E7E
81A131:	AB      	PLB 
81A132:	AB      	PLB 
81A133:	A20700  	LDX #$0007
81A136:	9EDF34  	STZ $34DF,x
81A139:	9EB63B  	STZ $3BB6,x
81A13C:	CA      	DEX 
81A13D:	10F7    	BPL $A136
81A13F:	9C2400  	STZ $0024
81A142:	9C2500  	STZ $0025
81A145:	9C3000  	STZ $0030
81A148:	9C3100  	STZ $0031
81A14B:	AB      	PLB 
81A14C:	60      	RTS

81A14D:	8B      	PHB 
81A14E:	F47E7E  	PEA $7E7E
81A151:	AB      	PLB 
81A152:	AB      	PLB 
81A153:	A22000  	LDX #$0020
81A156:	A0DF34  	LDY #$34DF
81A159:	2067A1  	JSR $A167
81A15C:	A22C00  	LDX #$002C
81A15F:	A0B63B  	LDY #$3BB6
81A162:	2067A1  	JSR $A167
81A165:	AB      	PLB 
81A166:	60	RTS
 		
81A167:	BD0500  	LDA $0005,x
81A16A:	290F    	AND #$0F
81A16C:	F01D    	BEQ $A18B
81A16E:	8D0000  	STA $0000
81A171:	BD0500  	LDA $0005,x
81A174:	29F0    	AND #$F0
81A176:	9D0500  	STA $0005,x
81A179:	BD0000  	LDA $0000,x
81A17C:	2930	AND #$30
81A17E:	C930    	CMP #$30
81A180:	D009    	BNE $A18B
81A182:	208CA1  	JSR $A18C
81A185:	AD0000  	LDA $0000
81A188:	990700	STA $0007,Y
81A18B:	60	RTS
 		
81A18C:	5A      	PHY 
81A18D:	A907    	LDA #$07
81A18F:	8D0100  	STA $0001
81A192:	B90100  	LDA $0001,Y
81A195:	990000	STA $0000,Y
81A198:	C8      	INY 
81A199:	CE0100  	DEC $0001
81A19C:	D0F4    	BNE $A192
81A19E:	7A      	PLY 
81A19F:	60	RTS

81A1A0:	8B      	PHB 
81A1A1:	DA      	PHX 
81A1A2:	F47E7E  	PEA $7E7E
81A1A5:	AB      	PLB 
81A1A6:	AB      	PLB 
81A1A7:	A2109A  	LDX #$9A10
81A1AA:	A908    	LDA #$08
81A1AC:	8D0000  	STA $0000
81A1AF:	B90000  	LDA $0000,Y
81A1B2:	8D0100  	STA $0001
81A1B5:	8B      	PHB 
81A1B6:	F40000  	PEA $0000
81A1B9:	AB      	PLB 
81A1BA:	AB      	PLB 
81A1BB:	BD0000  	LDA $0000,x
81A1BE:	AB      	PLB 
81A1BF:	CD0100  	CMP $0001
81A1C2:	D00A    	BNE $A1CE
81A1C4:	E8      	INX 
81A1C5:	C8      	INY 
81A1C6:	CE0000  	DEC $0000
81A1C9:	D0E4    	BNE $A1AF
81A1CB:	18      	CLC 
81A1CC:	8001    	BRA $A1CF
81A1CE:	38      	SEC 
81A1CF:	FA      	PLX 
81A1D0:	AB      	PLB 
81A1D1:	60      	RTS

############TAISEN MAKE#########
81ACBF:	8B      	PHB 
81ACC0:	A980    	LDA #$80
81ACC2:	8D0021  	STA $2100
81ACC5:	A26A93  	LDX #$936A
81ACC8:	22318200	JSR $008231	write PPU
81ACCC:	226A8200	JSR $00826A	init OAM
81ACD0:	20D392  	JSR $92D3	dma bg 1, bg2 set
81ACD3:	2006AE  	JSR $AE06	dma suuji
81ACD6:	206693  	JSR $9366	dma obj
81ACD9:	20AC93  	JSR $93AC	write bg1 map buffer
81ACDC:	2048AE  	JSR $AE48	display text
81ACDF:	200B96  	JSR $960B
81ACE2:	A24694  	LDX #$9446
81ACE5:	22928200	JSR $008292
